FIPS,county,state,year,total_vote,dem_vote,rep_vote
1055,Etowah,AL,2016,44164,10442,32353
1055,Etowah,AL,2020,47728,11567,35528
1057,Fayette,AL,1960,4205,2274,1923
1057,Fayette,AL,1964,4490,0,3203
1057,Fayette,AL,1968,6238,676,827
1057,Fayette,AL,1972,5076,836,4240
1057,Fayette,AL,1976,6287,4076,2165
1057,Fayette,AL,1980,6789,3389,3315
1057,Fayette,AL,1984,7201,2533,4654
1057,Fayette,AL,1988,7557,3186,4338
1057,Fayette,AL,1992,8470,3830,3604
1057,Fayette,AL,1996,7209,3381,3191
1057,Fayette,AL,2000,7808,3064,4582
1057,Fayette,AL,2004,8002,2408,5534
1057,Fayette,AL,2008,7957,1994,5883
1057,Fayette,AL,2012,7958,1817,6054
1057,Fayette,AL,2016,8249,1362,6712
1057,Fayette,AL,2020,8766,1395,7300
1059,Franklin,AL,1960,7507,3422,4069
1059,Franklin,AL,1964,7135,0,4025
1059,Franklin,AL,1968,9096,588,2524
1059,Franklin,AL,1972,7812,1840,5877
1059,Franklin,AL,1976,9721,6279,3345
1059,Franklin,AL,1980,10763,6136,4448
1059,Franklin,AL,1984,10027,4601,5304
1059,Franklin,AL,1988,10241,4961,5146
1059,Franklin,AL,1992,11858,5953,4794
1059,Franklin,AL,1996,10482,5028,4449
1059,Franklin,AL,2000,11103,4793,6119
1059,Franklin,AL,2004,12269,4514,7690
1059,Franklin,AL,2008,11693,3469,8048
1059,Franklin,AL,2012,10881,3171,7567
1059,Franklin,AL,2016,12040,2197,9466
1059,Franklin,AL,2020,12578,2086,10376
1061,Geneva,AL,1960,4559,3050,1502
1061,Geneva,AL,1964,5576,0,4502
1061,Geneva,AL,1968,8581,380,284
1061,Geneva,AL,1972,6938,1049,5851
1061,Geneva,AL,1976,8739,5983,2663
1061,Geneva,AL,1980,9628,4703,4747
1061,Geneva,AL,1984,9011,2330,6308
1061,Geneva,AL,1988,8472,2685,5703
1061,Geneva,AL,1992,9867,3622,4843
1061,Geneva,AL,1996,8983,3174,4725
1061,Geneva,AL,2000,9559,2769,6588
1061,Geneva,AL,2004,10520,2113,8342
1061,Geneva,AL,2008,11657,2134,9417
1061,Geneva,AL,2012,11331,2039,9175
1061,Geneva,AL,2016,11758,1525,9994
1061,Geneva,AL,2020,12545,1595,10848
1063,Greene,AL,1960,1123,723,381
1063,Greene,AL,1964,1711,0,1124
1063,Greene,AL,1968,3969,2229,180
1063,Greene,AL,1972,4735,3235,1404
1063,Greene,AL,1976,3818,2900,903
1063,Greene,AL,1980,4538,3474,1034
1063,Greene,AL,1984,5209,3675,1361
1063,Greene,AL,1988,4377,3295,1048
1063,Greene,AL,1992,4881,3865,805
1063,Greene,AL,1996,4424,3526,796
1063,Greene,AL,2000,4396,3504,850
1063,Greene,AL,2004,4748,3764,958
1063,Greene,AL,2008,5305,4408,876
1063,Greene,AL,2012,5343,4521,804
1063,Greene,AL,2016,4880,4013,838
1063,Greene,AL,2020,4775,3884,875
1065,Hale,AL,1960,2060,1309,741
1065,Hale,AL,1964,2446,0,1898
1065,Hale,AL,1968,5260,2003,266
1065,Hale,AL,1972,4828,1779,2859
1065,Hale,AL,1976,5394,3236,2034
1065,Hale,AL,1980,5979,3583,2074
1065,Hale,AL,1984,6056,3289,2691
1065,Hale,AL,1988,5652,3187,2414
1065,Hale,AL,1992,6023,3481,2001
1065,Hale,AL,1996,5473,3372,1893
1065,Hale,AL,2000,7731,4652,2984
1065,Hale,AL,2004,7945,4631,3281
1065,Hale,AL,2008,8214,4982,3200
1065,Hale,AL,2012,8647,5411,3210
1065,Hale,AL,2016,8040,4775,3173
1065,Hale,AL,2020,7900,4663,3192
1067,Henry,AL,1960,2714,2115,588
1067,Henry,AL,1964,3485,0,2896
1067,Henry,AL,1968,5292,955,84
1067,Henry,AL,1972,4291,853,3414
1067,Henry,AL,1976,5234,3144,2052
1067,Henry,AL,1980,5879,2973,2813
1067,Henry,AL,1984,6239,2231,3952
1067,Henry,AL,1988,5844,2206,3613
1067,Henry,AL,1992,6499,2804,2970
1067,Henry,AL,1996,6637,3019,3082
1067,Henry,AL,2000,6932,2782,4054
1067,Henry,AL,2004,7361,2452,4881
1067,Henry,AL,2008,8648,3018,5585
1067,Henry,AL,2012,8766,3083,5628
1067,Henry,AL,2016,8072,2292,5632
1067,Henry,AL,2020,9298,2606,6607
1069,Houston,AL,1960,8017,3897,4055
1069,Houston,AL,1964,11774,0,10353
1069,Houston,AL,1968,16536,1488,974
1069,Houston,AL,1972,15124,2358,12622
1069,Houston,AL,1976,19738,8787,10672
1069,Houston,AL,1980,23238,7848,14884
1069,Houston,AL,1984,27505,6488,20854
1069,Houston,AL,1988,27061,7001,19989
1069,Houston,AL,1992,29760,8857,17360
1069,Houston,AL,1996,28063,8791,17476
1069,Houston,AL,2000,32057,9412,22150
1069,Houston,AL,2004,36201,9144,26874
1069,Houston,AL,2008,41735,12225,29254
1069,Houston,AL,2012,41984,12367,29270
1069,Houston,AL,2016,42639,10664,30728
1069,Houston,AL,2020,46173,12917,32618
1071,Jackson,AL,1960,6848,4789,2036
1071,Jackson,AL,1964,5875,0,2730
1071,Jackson,AL,1968,10908,1022,1191
1071,Jackson,AL,1972,9410,2985,6202
1071,Jackson,AL,1976,15325,10989,3913
1071,Jackson,AL,1980,14203,8776,4897
1071,Jackson,AL,1984,14582,7635,6730
1071,Jackson,AL,1988,13669,7418,6090
1071,Jackson,AL,1992,18916,10628,5711
1071,Jackson,AL,1996,15558,8204,5650
1071,Jackson,AL,2000,17906,9066,8475
1071,Jackson,AL,2004,20321,8635,11534
1071,Jackson,AL,2008,20874,6374,14083
1071,Jackson,AL,2012,20632,5822,14439
1071,Jackson,AL,2016,20984,3673,16672
1071,Jackson,AL,2020,23636,3717,19670
1073,Jefferson,AL,1960,105898,44369,60004
1073,Jefferson,AL,1964,138838,0,100756
1073,Jefferson,AL,1968,205033,55845,39752
1073,Jefferson,AL,1972,198528,57288,135095
1073,Jefferson,AL,1976,217090,99531,113590
1073,Jefferson,AL,1980,259512,113069,132612
1073,Jefferson,AL,1984,266547,107506,158362
1073,Jefferson,AL,1988,257833,107766,148879
1073,Jefferson,AL,1992,298884,125889,149832
1073,Jefferson,AL,1996,260906,120208,130980
1073,Jefferson,AL,2000,273763,129889,138491
1073,Jefferson,AL,2004,292967,132286,158680
1073,Jefferson,AL,2008,318524,166121,149921
1073,Jefferson,AL,2012,304523,159876,141683
1073,Jefferson,AL,2016,304191,156873,134768
1073,Jefferson,AL,2020,325848,181688,138843
1075,Lamar,AL,1960,3391,2386,964
1075,Lamar,AL,1964,3775,0,2734
1075,Lamar,AL,1968,5925,302,364
1075,Lamar,AL,1972,4075,766,3283
1075,Lamar,AL,1976,5724,3860,1739
1075,Lamar,AL,1980,6186,3366,2778
1075,Lamar,AL,1984,5867,1910,3943
1075,Lamar,AL,1988,5496,2274,3214
1075,Lamar,AL,1992,6898,2849,3262
1075,Lamar,AL,1996,6410,2843,2955
1075,Lamar,AL,2000,7249,2653,4470
1075,Lamar,AL,2004,6885,1956,4894
1075,Lamar,AL,2008,7075,1614,5419
1075,Lamar,AL,2012,7176,1646,5457
